2SXPS_ID,name,ra,dec,e_pos,AstromType,l,b,MeanOffAxisAngle,OrigErr90,NearestNeighbour,NearestOKNeighbour,Exposure,FirstObsDate,LastObsDate,FirstObsMET,LastObsMET,FirstDetDate,LastDetDate,FirstDetMET,LastDetMET,FirstBlindDetDate,LastBlindDetDate,FirstBlindDetMET,LastBlindDetMET,NumObs,NumBlindDetObs,NumDetObs,BestDetectionID,NonBlindDet_band0,NonBlindDet_band1,NonBlindDet_band2,NonBlindDet_band3,DetFlag,FieldFlag,DetFlag_band0,DetFlag_band1,DetFlag_band2,DetFlag_band3,OpticalLoadingWarning,StrayLightWarning,NearBrightSourceWarning,IsPotentialAlias,PotentialAliasList,Rate_band0,Rate_band0_pos,Rate_band0_neg,HR1,HR1_pos,HR1_neg,HR2,HR2_pos,HR2_neg,Rate_band1,Rate_band1_pos,Rate_band1_neg,Rate_band2,Rate_band2_pos,Rate_band2_neg,Rate_band3,Rate_band3_pos,Rate_band3_neg,Counts_band0,Counts_band1,Counts_band2,Counts_band3,BgCounts_band0,BgCounts_band1,BgCounts_band2,BgCounts_band3,RateCF_band0,RateCF_band1,RateCF_band2,RateCF_band3,UL_band0,UL_band1,UL_band2,UL_band3,PeakRate_band0,PeakRate_band0_pos,PeakRate_band0_neg,PeakRate_band1,PeakRate_band1_pos,PeakRate_band1_neg,PeakRate_band2,PeakRate_band2_pos,PeakRate_band2_neg,PeakRate_band3,PeakRate_band3_pos,PeakRate_band3_neg,GalacticNH,PvarPchiSnapshot_band0,PvarPchiSnapshot_band1,PvarPchiSnapshot_band2,PvarPchiSnapshot_band3,PvarPchiSnapshot_HR1,PvarPchiSnapshot_HR2,PvarPchiObsID_band0,PvarPchiObsID_band1,PvarPchiObsID_band2,PvarPchiObsID_band3,PvarPchiObsID_HR1,PvarPchiObsID_HR2,WhichPow,WhichAPEC,PowECFO,PowECFU,PowFlux,PowFlux_pos,PowFlux_neg,PowUnabsFlux,PowUnabsFlux_pos,PowUnabsFlux_neg,APECECFO,APECECFU,APECFlux,APECFlux_pos,APECFlux_neg,APECUnabsFlux,APECUnabsFlux_pos,APECUnabsFlux_neg,PowPeakFlux,PowPeakFlux_pos,PowPeakFlux_neg,PowPeakUnabsFlux,PowPeakUnabsFlux_pos,PowPeakUnabsFlux_neg,APECPeakFlux,APECPeakFlux_pos,APECPeakFlux_neg,APECPeakUnabsFlux,APECPeakUnabsFlux_pos,APECPeakUnabsFlux_neg,FixedPowECFO,FixedPowECFU,FixedPowFlux,FixedPowFlux_pos,FixedPowFlux_neg,FixedPowUnabsFlux,FixedPowUnabsFlux_pos,FixedPowUnabsFlux_neg,FixedAPECECFO,FixedAPECECFU,FixedAPECFlux,FixedAPECFlux_pos,FixedAPECFlux_neg,FixedAPECUnabsFlux,FixedAPECUnabsFlux_pos,FixedAPECUnabsFlux_neg,InterpPowECFO,InterpPowECFU,InterpPowNH,InterpPowNH_pos,InterpPowNH_neg,InterpPowGamma,InterpPowGamma_pos,InterpPowGamma_neg,InterpPowFlux,InterpPowFlux_pos,InterpPowFlux_neg,InterpPowUnabsFlux,InterpPowUnabsFlux_pos,InterpPowUnabsFlux_neg,InterpAPECECFO,InterpAPECECFU,InterpAPECNH,InterpAPECNH_pos,InterpAPECNH_neg,InterpAPECkT,InterpAPECkT_pos,InterpAPECkT_neg,InterpAPECFlux,InterpAPECFlux_pos,InterpAPECFlux_neg,InterpAPECUnabsFlux,InterpAPECUnabsFlux_pos,InterpAPECUnabsFlux_neg,P_pow,P_APEC,FittedPowECFO,FittedPowECFU,FittedPowNH,FittedPowNH_pos,FittedPowNH_neg,FittedPowGamma,FittedPowGamma_pos,FittedPowGamma_neg,FittedPowFlux,FittedPowFlux_pos,FittedPowFlux_neg,FittedPowUnabsFlux,FittedPowUnabsFlux_pos,FittedPowUnabsFlux_neg,FittedPowCstat,FittedPowDOF,FittedPowReducedChi2,FittedAPECECFO,FittedAPECECFU,FittedAPECNH,FittedAPECNH_pos,FittedAPECNH_neg,FittedAPECkT,FittedAPECkT_pos,FittedAPECkT_neg,FittedAPECFlux,FittedAPECFlux_pos,FittedAPECFlux_neg,FittedAPECUnabsFlux,FittedAPECUnabsFlux_pos,FittedAPECUnabsFlux_neg,FittedAPECCstat,FittedAPECDOF,FittedAPECReducedChi2,HasSpec,NumExternalMatches,NumExternalMatches_slim,MatchInROSHRI,MatchIn2RXS,MatchIn3XMMDR8,MatchIn3XMM_Stack,MatchInXMMSL2,MatchInSwiftFT,MatchIn1SWXRT,MatchInXRTGRB,MatchInSDSSQSO,MatchIn2MASS,MatchInUSNOB1,MatchIn2CSC,MatchIn1SXPS,MatchInALLWISE,field,catalog,flux,cat
1480,2SXPS J033217.2-275215,53.07208,-27.87109,4.3,0,223.66992,-54.4857,2.98,5.2,58.16,58.16,546130,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,83,2,2,3257873,1,0,0,1,0,0,0,-1,-1,0,0.0,0,0,0,,8.868e-05,3.732e-05,-3.732e-05,-0.075,0.4713,-0.9248,0.909,0.091,-0.0153,0.0,7.268e-06,0.0,0.0,6.761e-06,0.0,6.131e-05,2.915e-05,-2.915e-05,145,30.0,25.0,90.0,107.0,43.8,37.9,63.9,1.35,1.35,1.35,1.35,0.000179,3.189e-05,2.986e-05,0.0001326,0.003878,0.002978,-0.002004,0.0,7.268e-06,0.0,0.0,6.761e-06,0.0,0.003927,0.002978,-0.002005,9.45e+19,0.759,0.0,0.733,0.845,,,0.985,0.985,0.985,0.985,0.367,1.0,0.0,0.0,4.251e-11,4.328e-11,3.77e-15,1.5865e-15,-1.5865e-15,3.838e-15,1.6153e-15,-1.6153e-15,2.252e-11,2.318e-11,1.997e-15,8.4046e-16,-8.4046e-16,2.056e-15,8.6524e-16,-8.6524e-16,1.6488e-13,1.2659e-13,-8.518e-14,1.6787e-13,1.2889e-13,-8.6724e-14,8.7346e-14,6.706e-14,-4.5124e-14,8.9922e-14,6.9039e-14,-4.6455e-14,4.251e-11,4.328e-11,3.77e-15,1.5865e-15,-1.5865e-15,3.838e-15,1.6153e-15,-1.6153e-15,2.252e-11,2.318e-11,1.997e-15,8.4046e-16,-8.4046e-16,2.056e-15,8.6524e-16,-8.6524e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,0,0,1,1,0,1,0,0,0,0,1,1,1,0,ECDFS,2SXPS,3.77e-15,2SXPS
1857,2SXPS J033242.1-275207,53.17561,-27.86884,4.2,0,223.68927,-54.39485,4.74,4.9,57.31,57.31,488928,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,84,2,2,3249257,1,0,0,0,0,0,0,-1,-1,-1,0.0,0,0,0,,8.176e-05,4.167e-05,-4.167e-05,0.276,0.394,-0.4232,0.053,0.3627,-0.3008,0.0,1.371e-05,0.0,1.067e-05,2.297e-05,-1.067e-05,0.0,1.999e-05,0.0,137,38.0,39.0,60.0,106.0,42.9,35.0,62.2,1.53,1.53,1.53,1.53,0.0001771,5.064e-05,6.735e-05,6.697e-05,8.327e-05,3.169e-05,-2.994e-05,0.0,1.371e-05,0.0,1.067e-05,2.297e-05,-1.067e-05,0.0,1.999e-05,0.0,9.43e+19,0.996,0.239,0.0775,0.956,,,0.341,0.341,0.341,0.341,0.289,1.0,1.0,1.0,5.48e-11,5.704e-11,4.481e-15,2.2833e-15,-2.2833e-15,4.664e-15,2.3767e-15,-2.3767e-15,5.4e-11,5.546e-11,4.415e-15,2.2499e-15,-2.2499e-15,4.534e-15,2.3106e-15,-2.3106e-15,4.563e-15,1.7365e-15,-1.641e-15,4.7495e-15,1.8075e-15,-1.7079e-15,4.4962e-15,1.711e-15,-1.6167e-15,4.6176e-15,1.7573e-15,-1.6604e-15,4.251e-11,4.328e-11,3.476e-15,1.7713e-15,-1.7713e-15,3.539e-15,1.8034e-15,-1.8034e-15,2.252e-11,2.318e-11,1.841e-15,9.3837e-16,-9.3837e-16,1.896e-15,9.6599e-16,-9.6599e-16,5.48e-11,5.704e-11,4.751e+20,6.0081e+21,1.0,1.305,0.83388,1.0,4.481e-15,2.2833e-15,-2.2833e-15,4.664e-15,2.3767e-15,-2.3767e-15,5.4e-11,5.546e-11,3.223e+20,5.1267e+21,1.0,44.69,-1.0,1.0,4.415e-15,2.2499e-15,-2.2499e-15,4.534e-15,2.3106e-15,-2.3106e-15,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,0,1,1,0,1,0,0,0,0,0,1,1,0,ECDFS,2SXPS,4.481e-15,2SXPS
5172,2SXPS J033139.8-274742,52.91603,-27.79517,4.0,0,223.50536,-54.611,11.28,4.6,46.61,46.61,302058,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,70,3,4,3249238,1,0,0,0,0,0,0,-1,0,-1,0.0,0,0,0,,0.0004293,0.0001226,-0.0001226,-0.106,0.1176,-0.1215,-0.054,0.1393,-0.1285,0.0001264,7.858e-05,-7.858e-05,0.0001221,6.864e-05,-6.864e-05,0.0,5.436e-05,0.0,136,53.0,42.0,42.0,84.0,37.7,27.2,43.3,4.52,4.52,4.52,4.52,0.0007403,0.0003195,0.0002972,0.0001812,0.008034,0.00437,-0.003318,0.009017,0.004632,-0.00359,0.0004841,0.0003061,-0.000226,0.0,5.436e-05,0.0,9.5e+19,0.45,1.0,0.602,0.0,1.0,1.0,0.0725,0.365,0.365,0.365,1.0,1.0,2.0,2.0,2.308e-11,2.316e-11,9.907e-15,2.8283e-15,-2.8283e-15,9.941e-15,2.8381e-15,-2.8381e-15,5.058e-11,4.966e-11,2.171e-14,6.1991e-15,-6.1991e-15,2.132e-14,6.0874e-15,-6.0874e-15,1.8538e-13,1.0083e-13,-7.656e-14,1.8602e-13,1.0118e-13,-7.6821e-14,4.0632e-13,2.21e-13,-1.6779e-13,3.99e-13,2.1702e-13,-1.6477e-13,4.251e-11,4.329e-11,1.825e-14,5.2108e-15,-5.2108e-15,1.858e-14,5.3056e-15,-5.3056e-15,2.252e-11,2.319e-11,9.668e-15,2.7603e-15,-2.7603e-15,9.955e-15,2.8421e-15,-2.8421e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.0,2.308e-11,2.316e-11,1771000000000000.0,1.6468e+21,-1771100000000000.0,3.157,2.079,-1.0997,9.907e-15,2.8283e-15,-2.8283e-15,9.941e-15,2.8381e-15,-2.8381e-15,6.4,6.0,111.44,5.058e-11,4.966e-11,43670000000000.0,1.5758e+21,-43670000000000.0,7.976,-7.976,-6.3526,2.171e-14,6.1991e-15,-6.1991e-15,2.132e-14,6.0874e-15,-6.0874e-15,11.9,6.0,112.51,0,5,4,0,0,1,1,0,0,0,0,0,0,1,1,1,0,ECDFS,2SXPS,9.907e-15,2SXPS
17267,2SXPS J033133.7-274820,52.89071,-27.80558,4.9,0,223.51744,-54.63468,11.02,6.3,38.68,88.91,134534,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,46,2,2,3249287,0,0,0,0,0,0,0,-1,-1,-1,0.0,0,0,0,,0.001174,0.0006385,-0.0006385,-0.107,0.1708,-0.1618,0.105,0.1757,-0.162,0.000214,0.0003989,-0.000214,0.0001887,0.0003551,-0.0001887,0.0,0.0003219,0.0,56,20.0,16.0,20.0,38.2,16.7,13.1,20.6,31.4,31.4,31.4,31.4,0.002749,0.001279,0.001168,0.001091,0.001174,0.0006385,-0.0006385,0.000214,0.0003989,-0.000214,0.0001887,0.0003551,-0.0001887,0.0,0.0003219,0.0,9.5e+19,1.0,1.0,1.0,0.00205,,,0.247,0.247,0.247,0.247,1.0,1.0,0.0,0.0,4.251e-11,4.329e-11,4.991e-14,2.7142e-14,-2.7142e-14,5.082e-14,2.7636e-14,-2.7636e-14,2.252e-11,2.319e-11,2.644e-14,1.4378e-14,-1.4378e-14,2.722e-14,1.4804e-14,-1.4804e-14,4.991e-14,2.7142e-14,-2.714e-14,5.0819e-14,2.7636e-14,-2.7636e-14,2.6439e-14,1.438e-14,-1.4378e-14,2.7222e-14,1.4804e-14,-1.4804e-14,4.251e-11,4.329e-11,4.991e-14,2.7142e-14,-2.7142e-14,5.082e-14,2.7636e-14,-2.7636e-14,2.252e-11,2.319e-11,2.644e-14,1.4378e-14,-1.4378e-14,2.722e-14,1.4804e-14,-1.4804e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,0,0,1,1,0,0,0,0,0,0,0,1,1,1,ECDFS,2SXPS,4.991e-14,2SXPS
53244,2SXPS J033208.3-273726,53.03487,-27.62398,4.1,0,223.24086,-54.48124,11.39,4.8,45.91,45.91,43206,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,34,3,6,3249237,1,0,0,1,0,0,0,-1,-1,0,0.0,0,0,0,,0.01488,0.002641,-0.002641,0.237,0.2546,-0.2188,0.705,0.086,-0.0808,0.0,0.0006747,0.0,0.001131,0.0009876,-0.0009876,0.01196,0.002134,-0.002134,76,6.0,10.0,60.0,20.6,7.42,5.49,12.3,97.9,94.7,94.7,94.7,0.02265,0.002614,0.004225,0.01849,0.01488,0.002641,-0.002641,0.0,0.0006747,0.0,0.001131,0.0009876,-0.0009876,0.01196,0.002134,-0.002134,9.51e+19,0.166,1.0,1.0,0.198,0.989,0.982,0.00216,0.00223,0.00223,0.00223,0.398,0.983,0.0,0.0,4.251e-11,4.329e-11,6.326e-13,1.1226e-13,-1.1226e-13,6.441e-13,1.143e-13,-1.143e-13,2.252e-11,2.319e-11,3.351e-13,5.9466e-14,-5.9466e-14,3.45e-13,6.1228e-14,-6.1228e-14,6.326e-13,1.1226e-13,-1.123e-13,6.4413e-13,1.143e-13,-1.143e-13,3.351e-13,5.947e-14,-5.9466e-14,3.4504e-13,6.1228e-14,-6.1228e-14,4.251e-11,4.329e-11,6.326e-13,1.1226e-13,-1.1226e-13,6.441e-13,1.143e-13,-1.143e-13,2.252e-11,2.319e-11,3.351e-13,5.9466e-14,-5.9466e-14,3.45e-13,6.1228e-14,-6.1228e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ECDFS,2SXPS,6.326e-13,2SXPS
101060,2SXPS J033220.4-274442,53.08508,-27.74507,4.7,0,223.4584,-54.45562,4.91,6.0,84.93,84.93,499429,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-12-09 02:09:22,2007-12-09 23:17:55,218858964,218935078,83,1,3,2541047,0,0,0,0,1,0,1,-1,-1,-1,0.0,0,0,0,,0.0,2.079e-05,0.0,-0.57,0.0014,-0.4303,,,,0.0,1.042e-05,0.0,0.0,4.198e-06,0.0,0.0,1.947e-05,0.0,116,39.0,12.0,65.0,126.0,50.0,40.8,68.4,1.51,1.51,1.51,1.51,7.68e-05,4.314e-05,2.072e-05,6.663e-05,0.002775,0.002166,-0.001459,0.0009357,0.001506,-0.000737,0.0,4.198e-06,0.0,0.001913,0.001869,-0.001145,0.0,0.0207,1.63e-07,1.0,0.87,,,0.999,0.999,0.999,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,ECDFS,2SXPS,,2SXPS
101989,2SXPS J033241.9-274114,53.17463,-27.68725,4.6,0,223.38075,-54.36853,9.67,5.7,87.19,87.19,318002,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-12-16 05:52:41,2007-12-17 23:59:56,219477164,219628798,83,1,3,2541508,0,0,0,0,1,0,-1,-1,-1,1,0.0,0,0,0,,0.0,2.809e-05,0.0,0.137,0.8625,-0.3148,0.811,0.1895,-0.0553,0.0,1.005e-05,0.0,0.0,1.105e-05,0.0,3.269e-06,6.423e-05,-3.269e-06,99,18.0,16.0,65.0,121.0,45.4,34.3,64.4,3.13,3.13,3.13,3.15,0.0001189,4.888e-05,5.24e-05,0.0001578,0.0422,0.04016,-0.02456,0.0,1.005e-05,0.0,0.02136,0.03248,-0.01584,0.02086,0.03246,-0.01582,9.47e+19,0.00823,1.0,1.0,1.0,,,1.19e-09,1.19e-09,1.19e-09,0.0103,,,0.0,0.0,4.251e-11,4.328e-11,0.0,1.194e-15,0.0,0.0,1.2157e-15,0.0,2.252e-11,2.319e-11,0.0,6.3253e-16,0.0,0.0,6.5121e-16,0.0,1.7938e-12,1.7074e-12,-1.044e-12,1.8264e-12,1.7384e-12,-1.0631e-12,9.5027e-13,9.045e-13,-5.5311e-13,9.7833e-13,9.3117e-13,-5.6944e-13,4.251e-11,4.328e-11,0.0,1.194e-15,0.0,0.0,1.2157e-15,0.0,2.252e-11,2.319e-11,0.0,6.3253e-16,0.0,0.0,6.5121e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ECDFS,2SXPS,0.0,2SXPS
156462,2SXPS J033331.5-275417,53.38128,-27.90489,5.1,0,223.79636,-54.22037,10.96,6.6,146.99,146.99,4759,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,11,2,3,3257956,1,1,1,0,0,0,0,-1,-1,-1,0.0,0,0,0,,0.02108,0.007053,-0.007053,-0.084,0.2645,-0.3047,-0.104,0.2695,-0.3524,0.008175,0.004509,-0.004509,0.007364,0.004001,-0.004001,0.005437,0.003684,-0.003684,15,6.0,5.0,4.0,2.5,1.15,0.633,0.775,24.4,24.4,24.4,24.4,0.04586,0.02597,0.02428,0.02113,0.02108,0.007053,-0.007053,0.008175,0.004509,-0.004509,0.007364,0.004001,-0.004001,0.005437,0.003684,-0.003684,9.08e+19,0.614,0.723,0.951,0.271,,,0.906,0.906,0.906,0.906,,,0.0,0.0,4.251e-11,4.325e-11,8.959e-13,2.9981e-13,-2.9981e-13,9.115e-13,3.0504e-13,-3.0504e-13,2.253e-11,2.317e-11,4.748e-13,1.5888e-13,-1.5888e-13,4.882e-13,1.6338e-13,-1.6338e-13,8.9589e-13,2.9981e-13,-2.998e-13,9.1154e-13,3.0504e-13,-3.0504e-13,4.7476e-13,1.589e-13,-1.5888e-13,4.8823e-13,1.6338e-13,-1.6338e-13,4.251e-11,4.325e-11,8.959e-13,2.9981e-13,-2.9981e-13,9.115e-13,3.0504e-13,-3.0504e-13,2.253e-11,2.317e-11,4.748e-13,1.5888e-13,-1.5888e-13,4.882e-13,1.6338e-13,-1.6338e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,ECDFS,2SXPS,8.959e-13,2SXPS
159333,2SXPS J033304.1-281344,53.26746,-28.22902,4.6,0,224.32128,-54.3663,1.44,5.6,161.42,161.42,4437,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,7,3,5,3249294,1,1,1,1,0,0,0,-1,0,-1,0.0,0,0,0,,0.01271,0.003691,-0.003691,0.085,0.2737,-0.3026,-0.092,0.2718,-0.2961,0.003839,0.002009,-0.002009,0.004887,0.002146,-0.002146,0.003578,0.002064,-0.002064,16,5.0,6.0,5.0,1.57,0.513,0.288,0.818,10.5,10.4,10.4,10.4,0.02598,0.01244,0.01399,0.0121,0.01271,0.003691,-0.003691,0.003839,0.002009,-0.002009,0.004887,0.002146,-0.002146,0.003578,0.002064,-0.002064,9.38e+19,0.0845,0.202,0.105,0.293,0.0577,1.0,1.04e-09,9.43e-09,9.43e-09,9.43e-09,0.0621,1.0,0.0,0.0,4.251e-11,4.328e-11,5.403e-13,1.5691e-13,-1.5691e-13,5.501e-13,1.5974e-13,-1.5974e-13,2.252e-11,2.318e-11,2.863e-13,8.3131e-14,-8.3131e-14,2.946e-13,8.5565e-14,-8.5565e-14,5.4033e-13,1.5691e-13,-1.569e-13,5.5006e-13,1.5974e-13,-1.5974e-13,2.8626e-13,8.313e-14,-8.3131e-14,2.9464e-13,8.5565e-14,-8.5565e-14,4.251e-11,4.328e-11,5.403e-13,1.5691e-13,-1.5691e-13,5.501e-13,1.5974e-13,-1.5974e-13,2.252e-11,2.318e-11,2.863e-13,8.3131e-14,-8.3131e-14,2.946e-13,8.5565e-14,-8.5565e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ECDFS,2SXPS,5.403e-13,2SXPS
170917,2SXPS J033141.9-274705,52.92496,-27.78491,4.7,0,223.48987,-54.60166,10.81,5.9,46.61,46.61,346766,2007-07-07 16:59:14,2017-08-19 05:02:54,205520356,524811794,2007-07-26 00:01:02,2007-07-26 22:43:55,207100864,207182637,2007-07-26 00:01:02,2007-07-26 22:43:55,207100864,207182637,72,1,1,2540860,0,0,0,0,0,0,0,-1,-1,-1,0.0,0,0,0,,0.0,2.061e-05,0.0,-0.886,0.0151,-0.114,0.693,0.3066,-0.023,0.0,2.245e-05,0.0,0.0,7.531e-06,0.0,0.0,1.172e-05,0.0,73,36.0,9.0,28.0,94.0,41.9,30.8,49.3,2.68,2.68,2.68,2.68,8.914e-05,8.55e-05,3.698e-05,5.47e-05,0.003149,0.001469,-0.001199,0.0,2.245e-05,0.0,0.0,7.531e-06,0.0,0.0,1.172e-05,0.0,9.5e+19,0.00201,0.0411,1.0,1.0,,,0.0239,0.00596,0.00596,0.00596,,,0.0,0.0,4.251e-11,4.329e-11,0.0,8.7622e-16,0.0,0.0,8.9218e-16,0.0,2.252e-11,2.319e-11,0.0,4.6416e-16,0.0,0.0,4.7791e-16,0.0,1.3386e-13,6.2453e-14,-5.097e-14,1.363e-13,6.359e-14,-5.1903e-14,7.091e-14,3.308e-14,-2.7003e-14,7.3011e-14,3.4063e-14,-2.7803e-14,4.251e-11,4.329e-11,0.0,8.7622e-16,0.0,0.0,8.9218e-16,0.0,2.252e-11,2.319e-11,0.0,4.6416e-16,0.0,0.0,4.7791e-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,ECDFS,2SXPS,0.0,2SXPS
103511,2SXPS J040005.7-490357,60.02407,-49.06593,4.6,0,257.25467,-47.81101,4.58,5.8,53.4,53.4,14688,2014-09-24 04:37:52,2018-02-02 17:19:36,433226285,539284797,2014-09-24 04:37:52,2018-02-02 17:19:36,433226285,539284797,2014-09-24 04:37:52,2018-02-02 17:19:36,433226285,539284797,19,1,1,2987877,1,0,0,0,0,0,0,-1,-1,0,0.0,0,0,0,,0.0007885,0.000361,-0.000361,0.462,0.5381,-0.1617,0.271,0.3592,-0.3537,3.571e-05,0.000166,-3.571e-05,0.0002533,0.0001979,-0.0001979,0.0004566,0.0002595,-0.0002595,13,2.0,4.0,7.0,3.99,1.59,1.11,1.79,1.38,1.38,1.38,1.38,0.002004,0.0007534,0.001069,0.001415,0.007236,0.005476,-0.003687,3.571e-05,0.000166,-3.571e-05,0.004913,0.004727,-0.002892,0.002349,0.003807,-0.001857,1.21e+20,0.18,0.467,0.129,0.649,,,0.845,0.845,0.845,0.845,1.0,1.0,1.0,0.0,7.605e-11,7.856e-11,5.997e-14,2.7452e-14,-2.7452e-14,6.195e-14,2.8359e-14,-2.8359e-14,2.248e-11,2.333e-11,1.773e-14,8.1149e-15,-8.1149e-15,1.839e-14,8.4199e-15,-8.4199e-15,5.5036e-13,4.1645e-13,-2.804e-13,5.6852e-13,4.302e-13,-2.8967e-13,1.6269e-13,1.231e-13,-8.2889e-14,1.688e-13,1.2773e-13,-8.6004e-14,4.254e-11,4.352e-11,3.354e-14,1.5355e-14,-1.5355e-14,3.431e-14,1.5707e-14,-1.5707e-14,2.248e-11,2.333e-11,1.773e-14,8.1149e-15,-8.1149e-15,1.839e-14,8.4199e-15,-8.4199e-15,7.605e-11,7.856e-11,9.853e+20,2.2806e+21,1.0,0.8613,-1.0,1.0,5.997e-14,2.7452e-14,-2.7452e-14,6.195e-14,2.8359e-14,-2.8359e-14,,,,,,,,,,,,,,,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EDFS,2SXPS,5.997e-14,2SXPS
